train_no,current_delay,station_index,next_delay
12102,108,17,135.2172290618279
12435,4,4,15.860833941259164
12860,118,13,127.90580613523451
12270,119,18,144.31982160639623
12106,32,1,35.809761338958836
12071,117,16,138.3251334353094
12700,64,13,77.63422676950633
12020,17,10,34.1355329338145
12614,95,12,116.13404710020995
12121,110,2,104.23513321802557
12466,48,3,51.89566051591403
12214,10,10,30.70814609684557
12330,84,2,75.32244321010874
12458,25,13,45.395773903586786
12087,62,13,83.49432578525872
12372,88,18,119.28435890010205
12099,85,3,87.99952475458942
12871,58,7,61.909472276159036
12663,26,14,53.565602673385975
12130,48,17,83.13522055859488
12661,76,12,87.46459114855989
12308,32,16,68.23373567899887
12769,97,12,119.49470413672094
12343,104,15,136.7254316981083
12491,98,10,109.35466720414998
12413,0,7,15.182123381312243
12805,20,5,32.134971945586585
12385,111,1,105.8890133652471
12191,54,17,88.23183430497802
12955,5,3,14.420165902325518
12276,91,13,107.36969045480981
12160,80,14,106.10998560486752
12459,68,18,91.84372925153637
12313,94,4,92.6292616836269
12021,4,18,47.418678080248995
12252,101,5,94.64876750939841
12747,2,16,30.412621715014183
12856,52,1,52.15873645538646
12560,22,14,49.76955986618076
12474,100,15,115.62487296171878
12058,52,9,62.71902998634931
12510,36,15,56.496089686748306
12681,73,17,104.60242499760287
12475,73,4,72.42059321164734
12699,82,12,106.76077955380316
12975,16,5,24.805501220200107
12782,84,5,84.50129848298562
12189,77,11,89.71589119354101
12957,72,6,75.57900082403785
12686,109,7,112.65410547566903
12957,0,14,40.562037882891595
12562,50,11,65.3057016495032
12875,44,13,64.06823269614344
12566,76,2,72.7279692284159
12243,3,7,22.1513725317213
12831,61,4,55.7950771946361
12504,64,8,75.87546368454822
12130,112,19,134.7128741198942
12484,103,13,121.46636344475475
12818,31,14,53.43120028819772
12646,33,10,38.17948830121357
12020,91,11,105.74788801343743
12840,94,2,90.40572385173435
12166,71,9,79.00459845760285
12273,38,17,65.008280699285
12387,25,3,21.94313637456174
12600,33,6,45.56549970769436
12315,53,5,62.111078912334044
12013,117,5,110.90474557412055
12241,2,15,29.100327702305748
12776,49,17,77.78355439430517
12345,11,9,39.254326405177736
12564,64,3,66.32560873794466
12897,53,17,76.9829224249581
12339,107,10,117.81890154745253
12091,4,3,2.7165422968095907
12366,93,18,123.28995154958086
12955,93,18,128.07773696772244
12454,56,17,92.7989584254198
12427,16,3,24.07446751737169
12508,111,3,102.98293822065936
12775,46,6,46.89549121742937
12942,22,13,38.79897478315445
12034,78,15,86.16891445250728
12205,100,9,111.4692788150396
12080,84,4,83.08582239887801
12931,13,14,44.24608083226564
12561,65,5,75.64015742617394
12871,74,2,71.09952771951205
12387,50,11,67.72980804856576
12001,102,9,107.47839827751267
12389,37,3,37.569577914137966
12565,63,9,78.34234956236467
12105,97,3,92.42812484817344
12771,37,2,35.70496166623589
12821,49,12,68.00841570278574
12476,97,10,111.73165098030795
12702,81,9,87.43669221084949
12401,29,15,55.76735741223984
12729,78,8,87.42638918889214
12555,90,5,96.80110951792619
12161,50,11,65.80351611600291
12201,62,2,56.21088306974139
12957,97,15,114.87819527863822
12995,51,6,63.1652871650769
12269,37,8,59.46652649301733
12862,96,5,89.83121093156984
12815,87,16,104.82349192465071
12270,78,18,105.35601606648927
12455,29,6,38.65478048034022
12461,118,5,120.13484782777498
12726,105,16,122.04433495699257
12251,50,13,65.68445481675268
12701,80,5,82.69043576566816
12295,4,13,28.30799639896416
12724,28,17,63.83360498885763
12719,3,18,41.13679901595192
12748,9,8,26.876896738166096
12337,55,13,74.97759326811567
12878,16,19,64.17790129284103
